schemeId,schemeName,schemeLevel,state,category,department,beneficiaryType,targetGroup,genderEligible,ageLimit,minAge,maxAge,casteEligible,incomeRuleType,incomeLimit,maxIncomeINR,maritalStatus,occupationEligible,eligibility,otherEligibilityCriteria,benefitType,benefits,allBenefitsDescription,benefitAmount,benefitFrequency,applicationMode,applicationDeadline,officialApplyLink,officialSource,importantDocuments,requiredDocuments,remarks
INF-002,MLALADS – MLA Local Area Development Scheme,State,Varies by State,Infrastructure / Community Development,State Legislature / State Finance Department,Local Communities,"Constituency residents, Local Communities",All,No limit,,,All,No income limit,No income limit,,Any,All citizens (via MLA recommendation),Projects proposed by MLA for constituency development; works of public utility,Varies by state; Maharashtra MLA gets approx ₹3 crore/year,Infrastructure / Community Assets,"Funding for community halls, small infrastructure, event spaces, sports grounds, roads","State-level equivalent of MPLADS. MLAs recommend development works in their constituency. Covers community halls, infrastructure, cultural spaces, and event venues.",₹1.5–₹3 crore per MLA per year (varies by state),Annual,Offline (via MLA's office),Annual,,State legislature website (varies),"Project proposal, Land clearance","Project Proposal, Technical Estimate, Land Documents",Amount and rules vary state-to-state. Contact local MLA's office for details.
EDU-001,Samagra Shiksha Abhiyan,Central,All States,Education,Ministry of Education / Department of School Education & Literacy,School Students / Teachers / Government Schools,"School Students (Pre-primary to Class XII), Teachers, Govt Schools",All,3–18 years (school age),3,18,All (SC/ST/OBC/minorities prioritized),No income limit for students,No income limit,,N/A,"Students, Teachers, Govt Schools",Students enrolled in government schools from pre-primary to Class XII; teachers and school administrators,Implemented via state government; individual benefits through government schools,Education / Infrastructure / Learning Support,"School infrastructure funding; free uniforms, books, mid-day meals; learning events; community engagement; teacher training","Integrated scheme covering pre-school to senior secondary education. Funds school infrastructure, provides free textbooks and uniforms, supports mid-day meal programmes, and promotes inclusive quality education.","Free uniforms, books; school infrastructure support (institutional)",Annual,Through Government School enrollment,Ongoing (academic year),https://samagra.education.gov.in/,https://samagra.education.gov.in/,"School enrollment certificate, Aadhaar","Age proof, Address proof, Aadhaar, Caste Certificate (if applicable)","Merger of Sarva Shiksha Abhiyan, Rashtriya Madhyamik Shiksha Abhiyan, and Teacher Education."
EDU-002,Ek Bharat Shreshtha Bharat,Central,All States,Education / Culture / National Integration,Ministry of Education,Schools / Colleges / Cultural Organizations,"Students, Youth, Educational Institutions, Local Bodies",All,School / College age,6,25,All,No income limit,No income limit,,Any,"Students, Teachers, Cultural groups","Schools, colleges, local bodies, and cultural organizations organizing cultural exchange programs and awareness campaigns","Events focus on language, culture, cuisine, and traditions of paired states",Cultural Support / Event Funding,Support for cultural events; awareness campaigns; state-pair exchange programs promoting national integration,"Pairs states for cultural exchange to promote national unity. Funds cultural events, language learning, cuisine exchange, and youth exchange programs between paired states.",Event and activity-based funding (institutional),Annual,Offline (via schools/colleges/local bodies),Annual,https://ekbharat.gov.in/,https://ekbharat.gov.in/,"Institution registration, Event proposal","Institution ID, Event Plan, Participant List",Launched in 2015. Pairs states annually for cultural exchange activities.
WOM-001,Mahila Shakti Kendra,Central,All States,Women Empowerment / Social Development,Ministry of Women and Child Development,Rural and Urban Women,"Women (especially rural), SHG members",Female,18+,18,,All,No income limit,No income limit,,Any,All women,"Rural and urban women; focuses on empowerment, skill training, and awareness",Implemented at block/district level,Skill Training / Awareness / Community Engagement,Skill training programs; health & legal awareness; community engagement; volunteer (SATHIN) network support,"Provides one-stop convergence service for empowering rural women. Offers skill development, digital literacy, health awareness, legal aid, and connects women to government schemes.",Free services / Training,Ongoing,Offline (via Anganwadi / Block office),Ongoing,https://wcd.nic.in/,https://wcd.nic.in/,"Aadhaar Card, Address Proof","Aadhaar Card, Address Proof, Photograph",Works through college student volunteers and community mobilizers.
WOM-002,Stand-Up India Scheme,Central,All States,Entrepreneurship / Women Empowerment / SC/ST,Department of Financial Services / SIDBI / NABARD,Women Entrepreneurs / SC-ST Entrepreneurs,"Women, SC/ST Entrepreneurs starting greenfield enterprises",Female (or SC/ST Male),18+,18,,Women (all castes) / SC/ST,No income limit,No income limit,,Any,Entrepreneurs (first-generation preferred),Women (any caste) or SC/ST (male/female); setting up greenfield enterprise; age 18+; not defaulter to any bank,At least one woman/SC/ST borrower per bank branch; greenfield project (first enterprise),Bank Loan / Credit Facilitation,Composite bank loan ₹10 lakh to ₹1 crore; covers working capital and term loan; CGTMSE/NCGTC guarantee,"Provides composite loans from ₹10 lakh to ₹1 crore for greenfield enterprises in manufacturing, services, or trading sectors. Covers both term loan and working capital. Repayment up to 7 years with moratorium.",₹10 lakh – ₹1 crore (loan),One-time (loan),Online (standupmitra.in) / Offline via Bank Branch,Ongoing,https://www.standupmitra.in/,https://www.standupmitra.in/,"Aadhaar Card, PAN Card, Business Plan","Aadhaar Card, PAN Card, Business Plan/Project Report, Bank Account, Caste Certificate (for SC/ST), Address Proof",At least one SC/ST and one woman entrepreneur must be served per scheduled commercial bank branch.
MOB-001,Metro Rail Policy 2017,Central,All States (Urban),Urban Transport / Infrastructure,Ministry of Housing & Urban Affairs (MoHUA),Urban Commuters / City Administrations,Urban residents in cities with metro population 2 million+,All,No limit,,,All,No income limit,No income limit,,Any,All,Cities must prepare Comprehensive Mobility Plan (CMP); applicable for cities with population over 2 million,Requires UMTA (Unified Metropolitan Transport Authority) formation; alternative analysis mandatory,Infrastructure Funding / Policy Support,Central assistance up to 10–20% of project cost; PPP model support; multi-modal transport integration,"Provides central grants/viability gap funding for metro rail projects. Mandates CMP, UMTA, last-mile connectivity integration. Promotes PPP models. Requires assessment of alternatives before metro approval.",Up to 10–20% of project cost as central grant,Project-based,State Government proposal to MoHUA,Project-based,https://mohua.gov.in/,https://mohua.gov.in/,"CMP, DPR, UMTA formation order","Comprehensive Mobility Plan, Detailed Project Report, State Government resolution",Policy scheme; individual citizens benefit indirectly through improved urban transit.
MOB-002,PRASHAD – Pilgrimage Rejuvenation and Spiritual Heritage Augmentation Drive,Central,All States,Tourism / Heritage Infrastructure,Ministry of Tourism,Pilgrimage Site Authorities / Local Bodies / Tourists,"Religious tourists, pilgrims, ULBs near pilgrim sites",All,No limit,,,All,No income limit,No income limit,,Any,"ULBs, State Tourism Departments, Pilgrimage Site Managers",Panchayats/municipalities near tourist/spiritual sites; state tourism departments; pilgrimage management bodies,Project proposals by state governments; must meet Ministry of Tourism guidelines,Infrastructure Funding,"Funds roads, entry points, drinking water, toilets, lighting, CCTV, tourist facilities at pilgrim sites","Provides financial assistance for holistic development of identified pilgrim and spiritual tourism sites. Includes access roads, footpaths, amenities, safety systems, and visitor facilities.",Project-based central grant (varies),Project-based,State Government proposal to Ministry of Tourism,Project-based,https://tourism.gov.in/,https://tourism.gov.in/,"Project DPR, Site ownership documents","Detailed Project Report, State Government resolution, Site documents",Launched 2014-15. Benefits communities through employment and local economic growth.
MOB-003,Swadesh Darshan 2.0,Central,All States,Tourism / Eco-Tourism / Rural Development,Ministry of Tourism,State Tourism Depts / Local Bodies / Tourism Stakeholders,"Tourists, ULBs, Tourism entrepreneurs",All,No limit,,,All,No income limit,No income limit,,Any,"Tourism businesses, ULBs, State Tourism Departments",State/UT tourism departments; destinations with potential for sustainable tourism development,Destination-centric approach; focus on eco-friendly and sustainable tourism,Infrastructure / Soft Components / Tourism Development,"Funds parks, walkways, rural tourism hubs, eco-paths; promotes domestic tourism; PPP investment support","Upgraded from Swadesh Darshan 1.0. Promotes sustainable tourism destinations with focus on eco-tourism, culture, adventure, rural, and wellness themes. Funds both hard infrastructure and soft components.",Project-based central grant,Project-based,State Government proposal to Ministry of Tourism,Project-based,https://swadeshdarshan.gov.in/,https://swadeshdarshan.gov.in/,"Project DPR, State Tourism policy documents","DPR, State Govt resolution, Land documents","Upgraded version (2.0) from original 2014 scheme. Destination-centric, not circuit-based."
MOB-004,Pradhan Mantri Gram Sadak Yojana (PMGSY),Central,All States (Rural),Rural Infrastructure / Connectivity,Ministry of Rural Development,Rural Residents / Village Communities,Rural habitations without all-weather road connectivity,All,No limit,,,All,No income limit,No income limit,,Any,All rural residents,Unconnected rural habitations with population 500+ (250+ in hill states); state rural roads agencies are implementing agencies,Road must be of public utility; single road connecting habitation to nearest all-weather route,Infrastructure (Road Connectivity),"Construction of all-weather roads; village street upgradation; connectivity to markets, schools, hospitals","Provides all-weather road connectivity to unconnected rural habitations. Includes new construction and upgrading of existing roads to meet standards. Also connects to markets, health centers, and educational institutions.",Infrastructure benefit (no direct monetary benefit to individuals),Project-based,State Government / State Rural Roads Development Agency,Ongoing,https://pmgsy.nic.in/,https://pmgsy.nic.in/,"Village habitation certificate, Land NOC","Gram Panchayat resolution, Land documents, Technical estimates",Launched 2000. Over 7.5 lakh km of rural roads constructed. PMGSY-III (2019) focuses on upgradation.
RUR-001,DAY-NRLM 2.0 – Deendayal Antyodaya Yojana – National Rural Livelihoods Mission,Central,All States (Rural),Livelihood / Rural Poverty Alleviation,Ministry of Rural Development,Rural Poor / SHG Members,"Rural Poor Women, SHG Members, Rural Entrepreneurs",Female (primary); All,18+,18,,All (SC/ST/OBC priority),BPL / SECC,BPL / SECC listed,,Any,"Rural Poor, SHG members",Rural poor families identified via SECC; primarily targets women; organized into Self Help Groups,Must be willing to form/join SHG; household income below poverty line,Livelihood / Credit / Skill / Financial Inclusion,SHG formation and capacity building; credit access via revolving funds; skill training; enterprise development; market linkage,"NRLM 2.0 (2026-2031) focuses on creating high-income rural enterprises from SHGs. Provides revolving funds, credit linkage, skill development, digital inclusion, and market access. Targets financial independence for rural women.","Revolving Fund ₹15,000 per SHG; Community Investment Fund up to ₹2.5 lakh per SHG",SHG-level (periodic),Offline (via Block Mission Management Unit),Ongoing,https://aajeevika.gov.in/,https://aajeevika.gov.in/,"Aadhaar Card, BPL Certificate, Bank Passbook","Aadhaar Card, BPL Certificate, SHG registration, Bank Account, Photograph",NRLM 2.0 formally transitions 2026-2031. 9 crore+ women mobilized in SHGs nationally.
ENV-M001,Swachh Bharat Mission – Urban (SBM-U 2.0),Central,All Metro/Urban Cities,Sanitation / Environment / Urban,Ministry of Housing & Urban Affairs (MoHUA),Urban Households / Urban Local Bodies,"Urban households, waste workers, municipalities",All,18+ (for individual benefits),18,,All,BPL for individual toilet subsidy,BPL (for toilet construction subsidy),,Any,All urban residents; sanitation workers,Urban households without toilet; ULBs for waste management infrastructure; BPL for toilet construction subsidy,Toilet subsidy for BPL households; waste management component for all urban areas,Subsidy / Infrastructure / Behavior Change,"Toilet construction subsidy ₹12,000–₹14,000; solid waste management infrastructure; ODF++ certification support","SBM-U 2.0 (2021-2026) focuses on ODF sustainability, solid waste management, and wastewater treatment. Individual toilet subsidy ₹12,000-14,000 for BPL households. Also covers greywater management and plastic waste reduction.","₹12,000–₹14,000 (toilet construction subsidy for BPL)",One-time (toilet subsidy),Online (swachhbharaturban.gov.in) / Offline via ULB,2025-26,https://swachhbharaturban.gov.in/,https://swachhbharaturban.gov.in/,"Aadhaar Card, BPL Certificate, Land/House Documents","Aadhaar Card, BPL Certificate, House ownership/rental proof, Bank Account",SBM-U 2.0 (2021-2026). Focus shifted from construction to sustainability and wastewater treatment.
ENV-M002,National Clean Air Programme (NCAP),Central,All States (107 non-attainment cities),Environment / Air Quality / Urban,"Ministry of Environment, Forest and Climate Change (MoEFCC)",Urban Population / City Residents,Residents of 107 non-attainment cities with high air pollution,All,No limit,,,All,No income limit,No income limit,,Any,All urban residents,Indirect benefit; cities with PM2.5/PM10 above national standards; implemented by state/city pollution control boards,Policy scheme; funds urban air quality improvement measures,Environmental Improvement / Policy,Reduction in PM2.5 and PM10 levels; improved air quality; funding for monitoring systems and pollution control measures,"National programme to achieve 40% reduction in particulate matter by 2026. Funds air quality monitoring, EV adoption, industrial compliance, dust control, and public awareness in 107 polluted cities.",Institutional funding (no direct individual benefit),Ongoing (5-year target),Implemented via State Pollution Control Boards / ULBs,Target 2026,https://moef.gov.in/,https://moef.gov.in/,N/A (policy scheme),N/A,Target: 40% reduction in PM levels by 2026. 131 cities covered (expanded from initial 102).
ENV-M003,FAME India Scheme Phase II (Faster Adoption and Manufacturing of EVs),Central,All States,Clean Energy / Electric Vehicles / Environment,Ministry of Heavy Industries,EV Buyers / Manufacturers,"Individual EV buyers, fleet operators, public transport authorities",All,18+,18,,All,No income limit,No income limit,,Any,All EV buyers; fleet operators; public transport,"Buyers of eligible electric 2-wheelers, 3-wheelers, 4-wheelers, and buses meeting FAME-II criteria",Vehicle must meet localization requirements; purchased from FAME-II registered dealers,Subsidy / Demand Incentive,"Upfront purchase subsidy on EVs; e-2W: up to ₹15,000; e-3W/buses: higher incentives; charging infrastructure support","Provides demand incentives for electric vehicles. E-2W: up to ₹15,000; e-3W taxis: up to ₹50,000; electric buses: up to ₹20 lakh. Also funds EV charging infrastructure in cities and highways.","₹10,000 – ₹20,00,000 (depending on vehicle category)",One-time (at purchase),Through EV dealer at point of sale,Ongoing (Phase III - PM E-Drive Scheme announced 2024),https://fame2.heavyindustry.gov.in/,https://heavyindustries.gov.in/,"Aadhaar Card, Vehicle Registration","Aadhaar Card, PAN Card, Bank Account, Vehicle Purchase Invoice","FAME II succeeded by PM E-DRIVE scheme in 2024 with ₹10,900 crore outlay. Check latest scheme."
ENV-M004,PM Surya Ghar – Rooftop Solar Programme (Grid Connected),Central,All States,Renewable Energy / Solar / Urban,Ministry of New and Renewable Energy (MNRE),Urban/Rural Households / RWAs / Housing Societies,"Residential households, Housing societies, RWAs",All,18+,18,,All,No income limit,No income limit,,Any,"Homeowners, Housing Societies",Residential households with valid electricity connection and own rooftop space; RWAs for common area installation,Must install grid-connected system through DISCOM-approved vendor,Capital Subsidy / Free Electricity,Up to 40% subsidy on solar panel installation; free electricity up to 300 units/month; net metering credits,"PM Surya Ghar (launched 2024): up to 40% subsidy for 1-2 kW systems, 20% for 2-3 kW. Target 1 crore households. Provides free electricity (up to 300 units/month) and income from surplus solar power via net metering.","Subsidy: ₹30,000–₹78,000 (for 1–3 kW system)",One-time subsidy,Online (pmsuryaghar.gov.in),Ongoing,https://pmsuryaghar.gov.in/,https://mnre.gov.in/,"Electricity Bill, Aadhaar Card, Property Documents","Electricity bill, Aadhaar Card, Bank Account, Property ownership proof, Photograph",Rebranded from Rooftop Solar Phase II to PM Surya Ghar in 2024. Target: 1 crore installations.
ENV-M005,AMRUT 2.0 – Atal Mission for Rejuvenation and Urban Transformation,Central,All States (500+ cities),Urban Infrastructure / Water / Environment,Ministry of Housing & Urban Affairs (MoHUA),Urban Residents / ULBs,"Urban households, residents of 500 cities",All,No limit,,,All,No income limit,No income limit,,Any,All urban residents,Residents of 500 AMRUT cities; ULBs implement projects; individual benefit via improved infrastructure,AMRUT 2.0 focuses on water security – 100% tap connections to all households,Infrastructure / Water Supply / Sanitation / Green Spaces,Water supply connections; sewerage networks; green spaces and parks; urban mobility improvement,"AMRUT 2.0 (2021-2026) aims for water security in 4,700+ cities. Provides 100% household tap water connections, sewerage networks, septage management, and urban green space development including parks.",Infrastructure benefit (₹2.99 lakh crore mission outlay),Project-based,Via ULB / Municipal Corporation,2025-26,https://amrut.gov.in/,https://amrut.gov.in/,N/A (individual); ULB project documents,"ULB project proposal, DPR, land documents","AMRUT 2.0 covers 4,700+ cities vs AMRUT 1.0's 500 cities. Includes parks and open spaces."
ENV-M006,Smart Cities Mission,Central,100 Smart Cities,Urban Development / Technology / Sustainability,Ministry of Housing & Urban Affairs (MoHUA),City Residents / ULBs,Residents of 100 selected smart cities,All,No limit,,,All,No income limit,No income limit,,Any,All,Residents of 100 selected smart cities; projects implemented by Special Purpose Vehicle (SPV),City selection through competitive challenge process; ₹500 crore central funding per city,Digital / Infrastructure / Sustainability / Mobility,Smart waste management; green mobility; energy-efficient buildings; public Wi-Fi; Integrated Command Control Centers,"Provides ₹500 crore per selected city for Area-Based Development and Pan-City initiatives. Covers smart solutions like ICCCs, smart roads, solar energy, cycling infrastructure, and digital citizen services.",₹500 crore per city (central + city share),Project-based,Via Smart City SPV / ULB,Mission period (extended to 2025),https://smartcities.gov.in/,https://smartcities.gov.in/,N/A (city-level implementation),"Smart City Proposal, SPV documents",100 cities selected. Mission extended to 2025. Focus on area-based and pan-city improvements.
