Scheme_ID,Scheme_Name,State,Scheme_Level,Department,Occupation_Eligible,Gender_Eligible,Category_Eligible,Caste_Eligible,Min_Age,Max_Age,Max_Income_INR,Income_Rule_Type,Marital_Status,Other_Eligibility_Criteria,Beneficiary_Type,Benefit_Type,Benefit_Amount,Benefit_Frequency,All_Benefits_Description,Application_Mode,Application_Deadline,Important_Documents,Official_Apply_Link,Official_Source,Remarks
FARM_09,Mukhyamantri Solar Krushi Pump Yojana,Maharashtra,State,Energy Department,Farmer,All,All,All,18,65,800000,APPROX,Any,Land ownership; electricity connection,Farmers,Subsidy,60–95% subsidy,One-time,Solar-powered irrigation pumps,Online,As notified,Aadhaar;Land Records;Bank,https://www.mahadiscom.in,GoM,Confirmed
FARM_10,Kisan Credit Card (KCC),India,Central,Ministry of Finance,Farmer,All,All,All,18,75,NA,NO_LIMIT,Any,Bank credit assessment,Farmers,Credit Facility,Based on landholding,Renewable,Short-term agricultural credit,Bank,Open,Aadhaar;Land Records;KYC,https://www.nabard.org,NABARD,Confirmed
HEALTH_01,Ayushman Bharat – Pradhan Mantri Jan Arogya Yojana (PM-JAY),India,Central,Ministry of Health & Family Welfare,Any,All,All,All,0,120,800000,APPROX,Any,SECC eligible family,Poor & Vulnerable Families,Health Insurance,"₹5,00,000 per family/year",Yearly,Cashless hospitalization for secondary & tertiary care,Hospital/CSC,Open,Aadhaar;Ayushman Card;Ration Card,https://pmjay.gov.in,MoHFW,Confirmed
HEALTH_02,Mahatma Jyotirao Phule Jan Arogya Yojana (MJPJAY),Maharashtra,State,Public Health Department,Any,All,All,All,0,120,1000000,EXACT,Any,Maharashtra resident; ration card criteria,Families,Health Insurance,"₹1,50,000 per family/year",Yearly,Cashless treatment in empanelled hospitals,Hospital,Open,Aadhaar;Ration Card,https://jeevandayee.gov.in,Govt of Maharashtra,Confirmed
HEALTH_03,Pradhan Mantri Bhartiya Janaushadhi Pariyojana,India,Central,Ministry of Chemicals & Fertilizers,Any,All,All,All,0,120,NA,NO_LIMIT,Any,Valid doctor prescription,General Public,Affordable Medicines,50–90% cheaper than branded,Continuous,Quality generic medicines,Offline (Janaushadhi Kendra),NA,Doctor Prescription,https://janaushadhi.gov.in,BPPI,Confirmed
HEALTH_04,National Dialysis Programme,India,Central,Ministry of Health & Family Welfare,Any,All,All,All,0,120,800000,APPROX,Any,Diagnosed CKD patient,Kidney Patients,Medical Treatment,Free dialysis,As prescribed,Free dialysis services in govt hospitals,Hospital,Open,Aadhaar;Medical Certificate,https://nhm.gov.in,MoHFW,Confirmed
HEALTH_05,National Tuberculosis Elimination Programme (NTEP),India,Central,Ministry of Health & Family Welfare,Any,All,All,All,0,120,NA,NO_LIMIT,Any,Diagnosed TB patient,TB Patients,Treatment + DBT,₹500/month nutrition support,Monthly,Free TB diagnosis & treatment,Hospital,Open,Aadhaar;TB Report,https://tbcindia.gov.in,MoHFW,Confirmed
HOUSE_03,Slum Rehabilitation Scheme (SRA),Maharashtra,State,Slum Rehabilitation Authority,Any,All,All,All,18,120,800000,APPROX,Any,Resident of notified slum; cut-off date applicable,Slum Dwellers,Free Housing,Rehabilitation flat,One-time,Permanent housing for slum dwellers,Offline,Project-based,Aadhaar;Slum Proof;Residence Proof,https://sra.gov.in,GoM,Confirmed
HOUSE_04,Mukhyamantri Awas Yojana,Maharashtra,State,Housing Department,Any,All,EWS/LIG,All,18,120,800000,APPROX,Any,MH resident; no pucca house,EWS/LIG Families,Housing Assistance,Varies,One-time,State housing support,Online/Offline,As notified,Aadhaar;Domicile;Income Cert,https://housing.maharashtra.gov.in,GoM,Confirmed
HOUSE_05,Credit Linked Subsidy Scheme (CLSS – PMAY),India,Central,Ministry of Housing & Urban Affairs,Any,All,EWS/LIG/MIG,All,18,70,1800000,EXACT,Any,Housing loan sanctioned,Home Loan Borrowers,Interest Subsidy,Up to ₹2.67 lakh,One-time,Interest subsidy on housing loans,Bank,As notified,Aadhaar;Loan Docs;Income Cert,https://pmaymis.gov.in,GoI,Confirmed
LAB_01,e-Shram Yojana,India,Central,Ministry of Labour & Employment,Unorganised Worker,All,All,All,16,59,NA,NO_LIMIT,Any,Not EPFO/ESIC member,Unorganised Workers,Registration + Insurance,₹2 lakh accident cover,Insurance-based,National database & social security access,Online/CSC,Open,Aadhaar;Mobile;Bank,https://eshram.gov.in,MoLE,Confirmed
LAB_02,Atal Pension Yojana,India,Central,Ministry of Finance / PFRDA,Any,All,All,All,18,40,NA,NO_LIMIT,Any,Contribution-based pension,Unorganised Workers,Pension,"₹1,000–₹5,000/month",Monthly (post 60),Guaranteed pension after 60,Bank,Open,Aadhaar;Bank;Mobile,https://npscra.nsdl.co.in,PFRDA,Confirmed
LAB_03,Pradhan Mantri Shram Yogi Maandhan,India,Central,Ministry of Labour & Employment,Unorganised Worker,All,All,All,18,40,15000/month,EXACT,Any,"Monthly income ≤ ₹15,000; not EPFO/ESIC/NPS",Low-income Workers,Pension,"₹3,000/month",Monthly (post 60),Government-matched pension,Online/CSC,Open,Aadhaar;Bank;Mobile,https://maandhan.in,MoLE,Confirmed
LAB_04,Maharashtra BOCW Welfare Scheme,Maharashtra,State,Labour Department,Construction Worker,All,All,All,18,60,NA,NO_LIMIT,Any,Registered worker; 90 days work,Construction Workers,Welfare Benefits,₹2k–₹1L (varies),As per benefit,"Education, medical, marriage aid",Online/Offline,Open,Aadhaar;BOCW Card;Bank,https://mahabocw.in,GoM,Confirmed
LAB_05,Employees’ State Insurance Scheme (ESIC),India,Central,Ministry of Labour & Employment,Organised Worker,All,All,All,18,60,21000/month,EXACT,Any,ESIC-covered establishment,Organised Workers,Social Security,Medical + Cash benefits,As per claim,Healthcare & income protection,Automatic (Employer),NA,Aadhaar;Employer Details,https://www.esic.gov.in,ESIC,Confirmed
LOW_01,Pradhan Mantri Awas Yojana – Gramin (PMAY-G),India,Central,Ministry of Rural Development,Any,All,All,All,18,120,800000,APPROX,Any,No pucca house; rural household,Rural Poor,Housing Assistance,₹1.20–1.30 lakh,One-time,Financial assistance for construction of pucca house,Offline (Gram Panchayat),As notified,Aadhaar;SECC/Awaas Plus;Bank,https://pmayg.nic.in,GoI,Confirmed
LOW_02,Pradhan Mantri Awas Yojana – Urban (PMAY-U),India,Central,Ministry of Housing & Urban Affairs,Any,All,EWS/LIG,All,18,120,800000,EXACT,Any,No pucca house; urban resident,Urban Poor,Interest Subsidy,Up to ₹2.67 lakh,One-time,Interest subsidy on home loans,Online/Bank,As notified,Aadhaar;Income Cert;Property Declaration,https://pmaymis.gov.in,GoI,Confirmed
LOW_03,Pradhan Mantri Ujjwala Yojana (PMUY),India,Central,Ministry of Petroleum & Natural Gas,Any,Female,All,All,18,120,800000,APPROX,Any,No existing LPG connection,Women from poor households,LPG Connection,Free LPG connection,One-time,Clean cooking fuel for poor families,Offline/Online,As notified,Aadhaar;Ration Card;Bank,https://pmuy.gov.in,GoI,Confirmed
LOW_04,Antyodaya Anna Yojana (AAY),India,Central,Department of Food & Public Distribution,Any,All,All,All,0,120,100000,EXACT,Any,AAY ration card holder,Poorest of the Poor,Food Security,35 kg foodgrains/month,Monthly,Highly subsidized food grains,Offline,Open,Ration Card,https://nfsa.gov.in,GoI,Confirmed
LOW_05,National Old Age Pension Scheme (NSAP – Old Age),India,Central,Ministry of Rural Development,Unemployed/Any,All,All,All,60,120,100000,EXACT,Any,BPL household,Senior Citizens (Poor),Pension,₹200–₹500/month,Monthly,Social security pension for elderly poor,Offline,Open,Aadhaar;BPL Card;Bank,https://nsap.nic.in,GoI,Confirmed
PEN_01,Indira Gandhi National Old Age Pension Scheme,India,Central,Ministry of Rural Development,Unemployed/Any,All,All,All,60,120,100000,EXACT,Any,BPL household,Senior Citizens,Pension,₹200–₹500/month,Monthly,Old age social security pension,Offline,Open,Aadhaar;Age Proof;BPL Card;Bank,https://nsap.nic.in,MoRD,Confirmed
PEN_02,Indira Gandhi National Widow Pension Scheme,India,Central,Ministry of Rural Development,Unemployed/Any,Female,All,All,40,59,100000,EXACT,Widow,BPL household,Widows,Pension,₹300–₹500/month,Monthly,Financial support to widows,Offline,Open,Aadhaar;Husband Death Cert;BPL;Bank,https://nsap.nic.in,MoRD,Confirmed
PEN_04,Maharashtra State Old Age Pension Scheme,Maharashtra,State,Social Justice Department,Unemployed/Any,All,All,All,65,120,21000,APPROX,Any,Resident of Maharashtra,Senior Citizens (MH),Pension,"₹1,000/month",Monthly,State old age pension,Offline,Open,Aadhaar;Age Proof;Domicile;Bank,https://sjsa.maharashtra.gov.in,GoM,Confirmed
SKILL_01,Pradhan Mantri Kaushal Vikas Yojana (PMKVY),India,Central,Ministry of Skill Development & Entrepreneurship,Unemployed/Student,All,All,All,15,45,800000,APPROX,Any,School dropout/youth,Youth,Skill Training,Free training + certification,One-time,Industry-relevant skill training,Online/Training Center,As notified,Aadhaar;Age Proof,https://www.pmkvyofficial.org,MSDE,Confirmed
SKILL_02,National Apprenticeship Training Scheme (NATS),India,Central,Ministry of Education / MSDE,Student/Graduate,All,All,All,18,35,NA,NO_LIMIT,Any,Diploma/degree holder,Graduates,Apprenticeship,Stipend,Monthly,On-the-job training,Online,As notified,Aadhaar;Education Cert,https://nats.education.gov.in,GoI,Confirmed
SKILL_03,Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),India,Central,Ministry of Rural Development,Unemployed,All,All,All,15,35,800000,APPROX,Any,Rural poor household,Rural Youth,Skill + Placement,Free training,One-time,Placement-linked training,Online/PIA,As notified,Aadhaar;BPL/SECC Proof,https://ddugky.gov.in,MoRD,Confirmed
SKILL_04,Maharashtra Skill Development Programme (MSDP),Maharashtra,State,Skill Development Dept,Unemployed/Student,All,All,All,15,45,800000,APPROX,Any,Resident of Maharashtra,Youth (MH),Skill Training,Free/Subsidized,One-time,State-level skill programs,Online,As notified,Aadhaar;Domicile,https://msde.maharashtra.gov.in,GoM,Confirmed
SKILL_05,PM SVANidhi – Skill & Livelihood Support,India,Central,Ministry of Housing & Urban Affairs,Self-employed,All,All,All,18,60,800000,APPROX,Any,Street vendor with LoR/CoV,Street Vendors,Skill + Credit,Training + Loan,Phased,Skill training linked to livelihood,Online/ULB,As notified,Aadhaar;Vendor ID,https://pmsvanidhi.mohua.gov.in,MoHUA,Confirmed
STU_01,Post Matric Scholarship for SC Students,Maharashtra,State,Social Justice Department,Student,All,Reserved,SC,16,35,250000,EXACT,Any,MH domicile; admitted in recognized institute,SC Students,Scholarship,100% fees + allowance,Yearly,Financial support for SC post-matric students,Online,Academic Year,Aadhaar;Caste Cert;Income Cert;Domicile;Bank,https://mahadbt.maharashtra.gov.in,MahaDBT,Confirmed
STU_02,Post Matric Scholarship for OBC Students,Maharashtra,State,Social Justice Department,Student,All,Reserved,OBC,16,35,150000,EXACT,Any,MH domicile; admitted in recognized institute,OBC Students,Scholarship,As per norms,Yearly,Financial support for OBC post-matric students,Online,Academic Year,Aadhaar;Caste Cert;Income Cert;Domicile;Bank,https://mahadbt.maharashtra.gov.in,MahaDBT,Confirmed
STU_03,Post Matric Scholarship for ST Students,Maharashtra,State,Tribal Development Department,Student,All,Reserved,ST,16,35,250000,EXACT,Any,MH domicile; admitted in recognized institute,ST Students,Scholarship,100% fees + allowance,Yearly,Educational support for ST students,Online,Academic Year,Aadhaar;Caste Cert;Income Cert;Domicile;Bank,https://mahadbt.maharashtra.gov.in,MahaDBT,Confirmed
STU_04,Minority Post Matric Scholarship,Maharashtra,State,Minority Development Department,Student,All,Minority,ALL,16,35,800000,EXACT,Any,Minority community; MH domicile,Minority Students,Scholarship,"₹3,000–₹25,000",Yearly,Reduces dropout among minority students,Online,Academic Year,Aadhaar;Income Cert;Minority Proof;Bank,https://mahadbt.maharashtra.gov.in,MahaDBT,Confirmed
STU_05,EBC Scholarship,Maharashtra,State,Social Justice Department,Student,All,EWS,General,16,35,800000,EXACT,Any,Open category; MH domicile,EWS Students,Scholarship,Fee reimbursement,Yearly,Supports economically weaker students,Online,Academic Year,Aadhaar;Income Cert;Domicile;Bank,https://mahadbt.maharashtra.gov.in,MahaDBT,Confirmed
WOM_01,Mukhyamantri Majhi Ladki Bahin Yojana,Maharashtra,State,Women & Child Development Dept,Any,Female,All,All,21,65,250000,EXACT,Any,Resident of Maharashtra; one woman per family,Adult Women,Cash Benefit,"₹1,500/month",Monthly,Financial support for women,Online,As notified,Aadhaar;Income Cert;Residence;Bank,https://ladkibahin.maharashtra.gov.in,GoM,Confirmed
WOM_02,Pradhan Mantri Matru Vandana Yojana,India,Central,Women & Child Development,Any,Female,All,All,19,40,NA,NO_LIMIT,Married,First living child; not govt employee,Pregnant Women,Maternity Benefit,"₹5,000",One-time,Nutritional & wage compensation,Anganwadi/Online,As per stages,Aadhaar;MCP Card;Bank,https://pmmvy.nic.in,GoI,Confirmed
WOM_03,Mahila Shakti Kendra Scheme,India,Central,Women & Child Development,Any,Female,All,All,18,60,800000,APPROX,Any,Focus on rural women,Rural Women,Empowerment Support,Training & awareness,As per program,"Skill, health & legal awareness",Offline,NA,Aadhaar;Residence,https://wcd.nic.in,GoI,Confirmed
WOM_04,STEP Scheme for Women,India,Central,Women & Child Development,Unemployed,Female,All,All,16,60,800000,APPROX,Any,Implemented via NGOs,Women Workers,Skill Training,Free training,One-time,Employment-oriented training,Offline,As per project,Aadhaar;Age Proof,https://wcd.nic.in,GoI,Confirmed
WOM_05,Working Women Hostel Scheme,India,Central,Women & Child Development,Working/Student,Female,All,All,18,45,800000,APPROX,Any,Subject to hostel availability,Working Women,Accommodation,Subsidised rent,Monthly,Safe housing for women,Offline,Subject to vacancy,Aadhaar;Employment/College Proof,https://wcd.nic.in,GoI,Confirmed
